,Provider Name,Provider City,"Provider
State",ZIP,APC,"APC
Description","Comprehensive APC
Services","Average
Medicare
Allowed
Amount",CBSA
6869,Northside Hospital Forsyth,Cumming,GA,30041,5123,Level 3 Musculoskeletal Procedures,81,4643.91703703703,12060
6870,Northside Hospital Forsyth,Cumming,GA,30041,5124,Level 4 Musculoskeletal Procedures,62,6515.05258064514,12060
6871,Northside Hospital Forsyth,Cumming,GA,30041,5125,Level 5 Musculoskeletal Procedures,35,9833.65,12060
6872,Northside Hospital Forsyth,Cumming,GA,30041,5165,Level 5 ENT Procedures,31,3637.33161290322,12060
6873,Northside Hospital Forsyth,Cumming,GA,30041,5191,Level 1 Endovascular Procedures,35,4193.78771428571,12060
6874,Northside Hospital Forsyth,Cumming,GA,30041,5192,Level 2 Endovascular Procedures,88,8820.48965909089,12060
6875,Northside Hospital Forsyth,Cumming,GA,30041,5213,Level 3 Electrophysiologic Procedures,16,14508.988125,12060
6876,Northside Hospital Forsyth,Cumming,GA,30041,5222,Level 2 Pacemaker and Similar Procedures,20,5759.736,12060
6877,Northside Hospital Forsyth,Cumming,GA,30041,5223,Level 3 Pacemaker and Similar Procedures,57,8656.87649122807,12060
6878,Northside Hospital Forsyth,Cumming,GA,30041,5232,Level 2 ICD and Similar Procedures,18,28403.37,12060
6879,Northside Hospital Forsyth,Cumming,GA,30041,5361,Level 1 Laparoscopy,113,3633.81619469026,12060
6880,Northside Hospital Forsyth,Cumming,GA,30041,5362,Level 2 Laparoscopy,34,6261.02235294117,12060
6881,Northside Hospital Forsyth,Cumming,GA,30041,5375,Level 5 Urology and Related Services,102,3150.29519607843,12060
6882,Northside Hospital Forsyth,Cumming,GA,30041,5376,Level 6 Urology and Related Services,11,6425.67272727272,12060
6883,Northside Hospital Forsyth,Cumming,GA,30041,5627,Level 7 Radiation Therapy,31,6820.28,12060
6884,Northside Hospital Forsyth,Cumming,GA,30041,8011,Comprehensive Observation Services,178,1995.43814606742,12060
6931,Northside Hospital Cherokee,Canton,GA,30114,5123,Level 3 Musculoskeletal Procedures,57,4579.11122807017,12060
6932,Northside Hospital Cherokee,Canton,GA,30114,5124,Level 4 Musculoskeletal Procedures,21,6600.47,12060
6933,Northside Hospital Cherokee,Canton,GA,30114,5191,Level 1 Endovascular Procedures,23,4291.47999999999,12060
6934,Northside Hospital Cherokee,Canton,GA,30114,5192,Level 2 Endovascular Procedures,62,8907.07,12060
6935,Northside Hospital Cherokee,Canton,GA,30114,5223,Level 3 Pacemaker and Similar Procedures,12,8656.75,12060
6936,Northside Hospital Cherokee,Canton,GA,30114,5361,Level 1 Laparoscopy,110,3652.198,12060
6937,Northside Hospital Cherokee,Canton,GA,30114,5362,Level 2 Laparoscopy,24,6198.04416666666,12060
6938,Northside Hospital Cherokee,Canton,GA,30114,5375,Level 5 Urology and Related Services,97,3094.79020618556,12060
6939,Northside Hospital Cherokee,Canton,GA,30114,5415,Level 5 Gynecologic Procedures,37,3215.78351351351,12060
6940,Northside Hospital Cherokee,Canton,GA,30114,5416,Level 6 Gynecologic Procedures,12,5329.92,12060
6941,Northside Hospital Cherokee,Canton,GA,30114,5463,Level 3 Neurostimulator and Related Procedures,22,15512.834090909,12060
6942,Northside Hospital Cherokee,Canton,GA,30114,5464,Level 4 Neurostimulator and Related Procedures,13,23086.0553846153,12060
6943,Northside Hospital Cherokee,Canton,GA,30114,8011,Comprehensive Observation Services,201,1983.46238805971,12060
6944,Emory University Hospital,Atlanta,GA,30322,5123,Level 3 Musculoskeletal Procedures,63,4526.46904761904,12060
6945,Emory University Hospital,Atlanta,GA,30322,5124,Level 4 Musculoskeletal Procedures,11,6600.47,12060
6946,Emory University Hospital,Atlanta,GA,30322,5125,Level 5 Musculoskeletal Procedures,11,9833.65,12060
6947,Emory University Hospital,Atlanta,GA,30322,5165,Level 5 ENT Procedures,43,3585.53255813953,12060
6948,Emory University Hospital,Atlanta,GA,30322,5191,Level 1 Endovascular Procedures,40,4120.5185,12060
6949,Emory University Hospital,Atlanta,GA,30322,5192,Level 2 Endovascular Procedures,260,8586.11538461538,12060
6950,Emory University Hospital,Atlanta,GA,30322,5193,Level 3 Endovascular Procedures,83,12389.9518072289,12060
6951,Emory University Hospital,Atlanta,GA,30322,5212,Level 2 Electrophysiologic Procedures,21,4390.37,12060
6952,Emory University Hospital,Atlanta,GA,30322,5213,Level 3 Electrophysiologic Procedures,102,14130.2564705882,12060
6953,Emory University Hospital,Atlanta,GA,30322,5222,Level 2 Pacemaker and Similar Procedures,53,6258.37,12060
6954,Emory University Hospital,Atlanta,GA,30322,5223,Level 3 Pacemaker and Similar Procedures,86,8573.16279069767,12060
6955,Emory University Hospital,Atlanta,GA,30322,5224,Level 4 Pacemaker and Similar Procedures,31,15301.3096774193,12060
6956,Emory University Hospital,Atlanta,GA,30322,5231,Level 1 ICD and Similar Procedures,17,17428.8070588235,12060
6957,Emory University Hospital,Atlanta,GA,30322,5232,Level 2 ICD and Similar Procedures,92,25052.479347826,12060
6958,Emory University Hospital,Atlanta,GA,30322,5331,Complex GI Procedures,37,3308.0654054054,12060
6959,Emory University Hospital,Atlanta,GA,30322,5361,Level 1 Laparoscopy,49,3678.37040816326,12060
6960,Emory University Hospital,Atlanta,GA,30322,5362,Level 2 Laparoscopy,18,6151.07944444444,12060
6961,Emory University Hospital,Atlanta,GA,30322,5375,Level 5 Urology and Related Services,45,3033.44066666666,12060
6962,Emory University Hospital,Atlanta,GA,30322,5415,Level 5 Gynecologic Procedures,14,3423.8,12060
6963,Emory University Hospital,Atlanta,GA,30322,5416,Level 6 Gynecologic Procedures,14,5329.92,12060
6964,Emory University Hospital,Atlanta,GA,30322,5463,Level 3 Neurostimulator and Related Procedures,62,15050.349516129,12060
6965,Emory University Hospital,Atlanta,GA,30322,5464,Level 4 Neurostimulator and Related Procedures,32,24164.605,12060
6966,Emory University Hospital,Atlanta,GA,30322,8011,Comprehensive Observation Services,371,2001.28078167117,12060
6967,Children's Healthcare Of Atlanta At Egleston,Atlanta,GA,30322,8011,Comprehensive Observation Services,11,1884.61454545454,12060
6968,Tanner Medical Center - Carrollton,Carrollton,GA,30117,5123,Level 3 Musculoskeletal Procedures,56,4511.75678571428,12060
6969,Tanner Medical Center - Carrollton,Carrollton,GA,30117,5124,Level 4 Musculoskeletal Procedures,17,6600.47,12060
6970,Tanner Medical Center - Carrollton,Carrollton,GA,30117,5191,Level 1 Endovascular Procedures,43,4191.68093023255,12060
6971,Tanner Medical Center - Carrollton,Carrollton,GA,30117,5192,Level 2 Endovascular Procedures,89,8735.85494382021,12060
6972,Tanner Medical Center - Carrollton,Carrollton,GA,30117,5193,Level 3 Endovascular Procedures,17,10419.6376470588,12060
6973,Tanner Medical Center - Carrollton,Carrollton,GA,30117,5223,Level 3 Pacemaker and Similar Procedures,31,8656.77774193548,12060
