,Provider Name,Provider City,"Provider
State",ZIP,APC,"APC
Description","Comprehensive APC
Services","Average
Medicare
Allowed
Amount",CBSA
4035,Presence Saint Joseph Medical Center,Joliet,IL,60435,61,Level II Neurostimulator & Related Procedures,13,4959.35461538461,16980
4036,Presence Saint Joseph Medical Center,Joliet,IL,60435,83,Level I Endovascular Procedures,65,4532.79,16980
4037,Presence Saint Joseph Medical Center,Joliet,IL,60435,86,Level III Electrophysiologic Procedures,47,14308.79,16980
4038,Presence Saint Joseph Medical Center,Joliet,IL,60435,89,Level III Pacemaker and Similar Procedures,33,9217.97333333333,16980
4039,Presence Saint Joseph Medical Center,Joliet,IL,60435,90,Level II Pacemaker and Similar Procedures,12,6534.91583333333,16980
4040,Presence Saint Joseph Medical Center,Joliet,IL,60435,108,Level II ICD and Similar Procedures,24,30674.87,16980
4041,Presence Saint Joseph Medical Center,Joliet,IL,60435,202,Level V Gynecologic Procedures,26,3862.64615384615,16980
4042,Presence Saint Joseph Medical Center,Joliet,IL,60435,229,Level II Endovascular Procedures,183,9365.60661202186,16980
4043,Presence Saint Joseph Medical Center,Joliet,IL,60435,318,Level IV Neurostimulator & Related Procedures,24,26044.32,16980
4044,Presence Saint Joseph Medical Center,Joliet,IL,60435,319,Level III Endovascular Procedures,119,14324.3901680672,16980
4045,Presence Saint Joseph Medical Center,Joliet,IL,60435,384,GI Procedures with Stents,29,3170.57,16980
4046,Loyola Gottlieb Memorial Hospital,Melrose Park,IL,60160,83,Level I Endovascular Procedures,67,4554.76,16980
4047,Loyola Gottlieb Memorial Hospital,Melrose Park,IL,60160,229,Level II Endovascular Procedures,31,9289.43870967742,16980
4048,Westlake Community Hospital,Melrose Park,IL,60160,89,Level III Pacemaker and Similar Procedures,12,9512.47333333333,16980
4049,Westlake Community Hospital,Melrose Park,IL,60160,229,Level II Endovascular Procedures,14,8957.69642857143,16980
4050,Evanston Hospital,Evanston,IL,60201,39,Level III Neurostimulator & Related Procedures,23,16430.4730434782,16980
4051,Evanston Hospital,Evanston,IL,60201,61,Level II Neurostimulator & Related Procedures,19,5308.77,16980
4052,Evanston Hospital,Evanston,IL,60201,67,Single Session Cranial Stereotactic Radiosurgery,26,9460.01923076923,16980
4053,Evanston Hospital,Evanston,IL,60201,83,Level I Endovascular Procedures,266,4541.11718045112,16980
4054,Evanston Hospital,Evanston,IL,60201,85,Level II Electrophysiologic Procedures,27,4651.01,16980
4055,Evanston Hospital,Evanston,IL,60201,86,Level III Electrophysiologic Procedures,102,14378.03,16980
4056,Evanston Hospital,Evanston,IL,60201,89,Level III Pacemaker and Similar Procedures,155,9512.43,16980
