,Provider ID,Provider Name,Provider City,ZIP,APC,"APC
Description","Comprehensive APC
Services","Average
Medicare
Allowed
Amount",CBSA
17778,140007,Presence Saint Joseph Medical Center,Joliet,60435,5115,Level 5 Musculoskeletal Procedures,26,9598.71,16980
17812,140008,Loyola Gottlieb Memorial Hospital,Melrose Park,60160,5115,Level 5 Musculoskeletal Procedures,11,9645.38,16980
17841,140010,Evanston Hospital,Evanston,60201,5115,Level 5 Musculoskeletal Procedures,93,9593.56247311828,16980
18017,140029,Copley Memorial Hospital,Aurora,60504,5115,Level 5 Musculoskeletal Procedures,19,9164.78315789473,16980
18558,140065,Adventist La Grange Memorial Hospital,La Grange,60525,5115,Level 5 Musculoskeletal Procedures,16,9645.38,16980
18686,140088,The University Of Chicago Medical Center,Chicago,60637,5115,Level 5 Musculoskeletal Procedures,44,9645.38,16980
18820,140101,Morris Hospital & Healthcare Centers,Morris,60450,5115,Level 5 Musculoskeletal Procedures,15,9598.71,16980
18893,140116,Centegra Health System - Mc Henry Hospital,Mchenry,60050,5115,Level 5 Musculoskeletal Procedures,33,9392.97454545454,16980
18925,140117,Presence Resurrection Medical Center,Chicago,60631,5115,Level 5 Musculoskeletal Procedures,14,9300.90214285714,16980
18972,140119,Rush University Medical Center,Chicago,60612,5115,Level 5 Musculoskeletal Procedures,147,9418.75897959183,16980
19082,140122,Adventist Hinsdale Hospital,Hinsdale,60521,5115,Level 5 Musculoskeletal Procedures,26,9598.71,16980
19148,140130,Northwestern Lake Forest Hospital,Lake Forest,60045,5115,Level 5 Musculoskeletal Procedures,27,9336.88444444444,16980
19521,140174,Presence Mercy Medical Center,Aurora,60506,5115,Level 5 Musculoskeletal Procedures,13,9320.99307692307,16980
19575,140180,Presence Saints Mary And Elizabeth Medical Center,Chicago,60622,5115,Level 5 Musculoskeletal Procedures,11,9645.38,16980
19640,140224,Presence Saint Joseph Hospital - Chicago,Chicago,60657,5115,Level 5 Musculoskeletal Procedures,11,9206.95363636363,16980
19803,140200,Elmhurst Memorial Hospital,Elmhurst,60126,5115,Level 5 Musculoskeletal Procedures,24,9598.71,16980
19837,140202,Advocate Condell Medical Center,Libertyville,60048,5115,Level 5 Musculoskeletal Procedures,46,9645.38,16980
19872,140208,Advocate Christ Hospital & Medical Center,Oak Lawn,60453,5115,Level 5 Musculoskeletal Procedures,17,9645.41176470588,16980
19952,140211,Delnor Community Hospital,Geneva,60134,5115,Level 5 Musculoskeletal Procedures,13,9598.71,16980
19976,140213,Silver Cross Hospital  And Medical Centers,New Lenox,60451,5115,Level 5 Musculoskeletal Procedures,20,9598.71,16980
20014,140223,Advocate Lutheran General Hospital,Park Ridge,60068,5115,Level 5 Musculoskeletal Procedures,64,9645.38,16980
20083,140231,Edward Hospital,Naperville,60540,5115,Level 5 Musculoskeletal Procedures,23,9598.71,16980
20205,140242,Central Dupage Hospital,Winfield,60190,5115,Level 5 Musculoskeletal Procedures,38,9598.74631578947,16980
20286,140252,Northwest Community Hospital 1,Arlington Heights,60005,5115,Level 5 Musculoskeletal Procedures,21,9645.38,16980
20320,140258,Alexian Brothers Medical Center 1,Elk Grove Village,60007,5115,Level 5 Musculoskeletal Procedures,17,9645.38,16980
20368,140276,Loyola University Medical Center,Maywood,60153,5115,Level 5 Musculoskeletal Procedures,44,9645.38,16980
20442,140281,Northwestern Memorial Hospital,Chicago,60611,5115,Level 5 Musculoskeletal Procedures,68,9400.39823529411,16980
20493,140286,Kishwaukee Community Hospital,Dekalb,60115,5115,Level 5 Musculoskeletal Procedures,12,9598.71,16980
20514,140288,Advocate Good Samaritan Hospital,Downers Grove,60515,5115,Level 5 Musculoskeletal Procedures,11,9598.71,16980
20574,140290,St Alexius Medical Center,Hoffman Estates,60194,5115,Level 5 Musculoskeletal Procedures,22,9645.38,16980
20604,140291,Advocate Good Shepherd Hospital,Barrington,60010,5115,Level 5 Musculoskeletal Procedures,29,9645.38,16980
20962,150015,Franciscan Health Michigan City,Michigan City,46360,5115,Level 5 Musculoskeletal Procedures,30,8898.72666666666,16980
21308,150034,St Mary Medical Center Inc,Hobart,46342,5115,Level 5 Musculoskeletal Procedures,13,8961.57846153846,16980
21350,150035,Porter Regional Hospital,Valparaiso,46383,5115,Level 5 Musculoskeletal Procedures,18,8619.285,16980
22103,150090,Franciscan Health Dyer,Dyer,46311,5115,Level 5 Musculoskeletal Procedures,13,8324.44692307692,16980
22523,150125,Community Hospital,Munster,46321,5115,Level 5 Musculoskeletal Procedures,28,9302.89892857143,16980
68597,520021,United Hospital System,Kenosha,53143,5115,Level 5 Musculoskeletal Procedures,15,9645.38,16980
69975,520189,Aurora Medical Ctr Kenosha,Kenosha,53142,5115,Level 5 Musculoskeletal Procedures,17,8665.45294117647,16980
