,Provider Name,Provider City,"Provider
State",ZIP,APC,"APC
Description","Comprehensive APC
Services","Average
Medicare
Allowed
Amount",CBSA
10183,St Vincent Charity Medical Center,Cleveland,OH,44115,229,Level II Endovascular Procedures,47,8966.28,17460
10184,St Vincent Charity Medical Center,Cleveland,OH,44115,319,Level III Endovascular Procedures,11,13812.61,17460
10185,St Vincent Charity Medical Center,Cleveland,OH,44115,425,Level V Musculoskeletal Procedures Except Hand and Foot,11,9519.9,17460
10218,Parma Community General Hospital,Parma,OH,44129,83,Level I Endovascular Procedures,30,4232.64,17460
10219,Parma Community General Hospital,Parma,OH,44129,89,Level III Pacemaker and Similar Procedures,22,8841.59363636363,17460
10220,Parma Community General Hospital,Parma,OH,44129,229,Level II Endovascular Procedures,50,8820.5162,17460
10252,Metrohealth System,Cleveland,OH,44109,83,Level I Endovascular Procedures,170,4212.81652941177,17460
10253,Metrohealth System,Cleveland,OH,44109,86,Level III Electrophysiologic Procedures,21,12210.288095238,17460
10254,Metrohealth System,Cleveland,OH,44109,89,Level III Pacemaker and Similar Procedures,21,8841.5319047619,17460
10255,Metrohealth System,Cleveland,OH,44109,90,Level II Pacemaker and Similar Procedures,13,6103.26,17460
10256,Metrohealth System,Cleveland,OH,44109,202,Level V Gynecologic Procedures,27,3713.94,17460
10257,Metrohealth System,Cleveland,OH,44109,229,Level II Endovascular Procedures,34,8512.9694117647,17460
10319,Uhhs Richmond Heights Hospital,Richmond Heights,OH,44143,83,Level I Endovascular Procedures,29,4232.64,17460
10332,Fairview Hospital,Cleveland,OH,44111,83,Level I Endovascular Procedures,73,4140.24712328768,17460
10333,Fairview Hospital,Cleveland,OH,44111,86,Level III Electrophysiologic Procedures,22,12812.8159090909,17460
10334,Fairview Hospital,Cleveland,OH,44111,89,Level III Pacemaker and Similar Procedures,65,8798.48123076923,17460
10335,Fairview Hospital,Cleveland,OH,44111,107,Level I ICD and Similar Procedures,13,21307.2484615384,17460
10336,Fairview Hospital,Cleveland,OH,44111,108,Level II ICD and Similar Procedures,40,27960.65775,17460
10337,Fairview Hospital,Cleveland,OH,44111,202,Level V Gynecologic Procedures,15,3713.94,17460
10338,Fairview Hospital,Cleveland,OH,44111,229,Level II Endovascular Procedures,97,8886.86237113404,17460
10339,Fairview Hospital,Cleveland,OH,44111,385,Level I Urogenital Procedures,13,6363.37,17460
10340,Fairview Hospital,Cleveland,OH,44111,655,Level IV Pacemaker and Similar Procedures,14,15262.21,17460
10359,Euclid Hospital,Euclid,OH,44119,83,Level I Endovascular Procedures,21,4232.64,17460
10402,Medina Hospital,Medina,OH,44256,83,Level I Endovascular Procedures,22,4232.74681818181,10420
10403,Medina Hospital,Medina,OH,44256,83,Level I Endovascular Procedures,22,4232.74681818181,17460
10409,Lake Health,Concord,OH,44077,61,Level II Neurostimulator & Related Procedures,20,2959.986,17460
10410,Lake Health,Concord,OH,44077,83,Level I Endovascular Procedures,55,4155.6829090909,17460
10411,Lake Health,Concord,OH,44077,86,Level III Electrophysiologic Procedures,28,13363.055,17460
10412,Lake Health,Concord,OH,44077,89,Level III Pacemaker and Similar Procedures,23,8841.46,17460
10413,Lake Health,Concord,OH,44077,90,Level II Pacemaker and Similar Procedures,22,6103.26,17460
10414,Lake Health,Concord,OH,44077,108,Level II ICD and Similar Procedures,22,28645.29,17460
10415,Lake Health,Concord,OH,44077,202,Level V Gynecologic Procedures,11,3713.94,17460
10416,Lake Health,Concord,OH,44077,229,Level II Endovascular Procedures,110,8488.66472727274,17460
10417,Lake Health,Concord,OH,44077,319,Level III Endovascular Procedures,39,13812.61,17460
10459,St John Medical Center,Westlake,OH,44145,61,Level II Neurostimulator & Related Procedures,23,3646.35956521739,17460
10460,St John Medical Center,Westlake,OH,44145,83,Level I Endovascular Procedures,34,4037.72588235294,17460
10461,St John Medical Center,Westlake,OH,44145,89,Level III Pacemaker and Similar Procedures,34,8622.81647058823,17460
10462,St John Medical Center,Westlake,OH,44145,108,Level II ICD and Similar Procedures,13,28645.5238461538,17460
10463,St John Medical Center,Westlake,OH,44145,229,Level II Endovascular Procedures,86,8697.50837209303,17460
