,Provider Name,Provider City,"Provider
State",ZIP,APC,"APC
Description","Comprehensive APC
Services","Average
Medicare
Allowed
Amount",CBSA
20931,St Vincent Charity Medical Center,Cleveland,OH,44115,5123,Level 3 Musculoskeletal Procedures,120,4586.49908333333,17460
20932,St Vincent Charity Medical Center,Cleveland,OH,44115,5125,Level 5 Musculoskeletal Procedures,12,9909.25,17460
20933,St Vincent Charity Medical Center,Cleveland,OH,44115,5191,Level 1 Endovascular Procedures,30,4094.84466666666,17460
20934,St Vincent Charity Medical Center,Cleveland,OH,44115,5192,Level 2 Endovascular Procedures,30,8975.56566666666,17460
20935,St Vincent Charity Medical Center,Cleveland,OH,44115,8011,Comprehensive Observation Services,227,2040.27872246696,17460
21000,Parma Community General Hospital,Parma,OH,44129,5123,Level 3 Musculoskeletal Procedures,58,4679.69,17460
21001,Parma Community General Hospital,Parma,OH,44129,5191,Level 1 Endovascular Procedures,26,4324.55,17460
21002,Parma Community General Hospital,Parma,OH,44129,5192,Level 2 Endovascular Procedures,53,8517.97113207547,17460
21003,Parma Community General Hospital,Parma,OH,44129,5193,Level 3 Endovascular Procedures,21,13730.5,17460
21004,Parma Community General Hospital,Parma,OH,44129,5223,Level 3 Pacemaker and Similar Procedures,25,8723.4028,17460
21005,Parma Community General Hospital,Parma,OH,44129,5232,Level 2 ICD and Similar Procedures,12,28622.2316666666,17460
21006,Parma Community General Hospital,Parma,OH,44129,5361,Level 1 Laparoscopy,40,3697.993,17460
21007,Parma Community General Hospital,Parma,OH,44129,5375,Level 5 Urology and Related Services,41,3195.97,17460
21008,Parma Community General Hospital,Parma,OH,44129,5376,Level 6 Urology and Related Services,17,6992.92529411764,17460
21009,Parma Community General Hospital,Parma,OH,44129,8011,Comprehensive Observation Services,969,2029.71092879253,17460
21080,Metrohealth System,Cleveland,OH,44109,5123,Level 3 Musculoskeletal Procedures,56,4679.69,17460
21081,Metrohealth System,Cleveland,OH,44109,5165,Level 5 ENT Procedures,43,3725.45,17460
21082,Metrohealth System,Cleveland,OH,44109,5191,Level 1 Endovascular Procedures,168,4311.68107142857,17460
21083,Metrohealth System,Cleveland,OH,44109,5192,Level 2 Endovascular Procedures,51,8975.52,17460
21084,Metrohealth System,Cleveland,OH,44109,5213,Level 3 Electrophysiologic Procedures,29,14620.51,17460
21085,Metrohealth System,Cleveland,OH,44109,5222,Level 2 Pacemaker and Similar Procedures,14,5975.45071428571,17460
21086,Metrohealth System,Cleveland,OH,44109,5223,Level 3 Pacemaker and Similar Procedures,26,8723.27,17460
21087,Metrohealth System,Cleveland,OH,44109,5231,Level 1 ICD and Similar Procedures,15,20593.92,17460
21088,Metrohealth System,Cleveland,OH,44109,5232,Level 2 ICD and Similar Procedures,27,26597.3518518518,17460
21089,Metrohealth System,Cleveland,OH,44109,5361,Level 1 Laparoscopy,70,3767.99,17460
21090,Metrohealth System,Cleveland,OH,44109,5362,Level 2 Laparoscopy,15,6460.61,17460
21091,Metrohealth System,Cleveland,OH,44109,5375,Level 5 Urology and Related Services,61,3195.97,17460
21092,Metrohealth System,Cleveland,OH,44109,5415,Level 5 Gynecologic Procedures,21,3358.39142857142,17460
21093,Metrohealth System,Cleveland,OH,44109,5416,Level 6 Gynecologic Procedures,11,5370.8,17460
21094,Metrohealth System,Cleveland,OH,44109,5462,Level 2 Neurostimulator and Related Procedures,13,4558.85538461538,17460
21095,Metrohealth System,Cleveland,OH,44109,5492,Level 2 Intraocular Procedures,44,3183.76,17460
21096,Metrohealth System,Cleveland,OH,44109,8011,Comprehensive Observation Services,1422,2041.82459915614,17460
21216,Uhhs Richmond Heights Hospital,Richmond Heights,OH,44143,5123,Level 3 Musculoskeletal Procedures,17,4460.36529411764,17460
21217,Uhhs Richmond Heights Hospital,Richmond Heights,OH,44143,5191,Level 1 Endovascular Procedures,43,4244.42023255814,17460
21218,Uhhs Richmond Heights Hospital,Richmond Heights,OH,44143,5361,Level 1 Laparoscopy,43,3767.99,17460
21219,Uhhs Richmond Heights Hospital,Richmond Heights,OH,44143,5375,Level 5 Urology and Related Services,21,3195.97,17460
21220,Uhhs Richmond Heights Hospital,Richmond Heights,OH,44143,8011,Comprehensive Observation Services,463,2034.80196544274,17460
21251,Fairview Hospital,Cleveland,OH,44111,5123,Level 3 Musculoskeletal Procedures,90,4596.834,17460
21252,Fairview Hospital,Cleveland,OH,44111,5124,Level 4 Musculoskeletal Procedures,18,6466.39555555555,17460
21253,Fairview Hospital,Cleveland,OH,44111,5165,Level 5 ENT Procedures,14,3517.97857142857,17460
21254,Fairview Hospital,Cleveland,OH,44111,5191,Level 1 Endovascular Procedures,86,4235.10453488371,17460
21255,Fairview Hospital,Cleveland,OH,44111,5192,Level 2 Endovascular Procedures,132,8849.31583333333,17460
21256,Fairview Hospital,Cleveland,OH,44111,5193,Level 3 Endovascular Procedures,20,13730.657,17460
21257,Fairview Hospital,Cleveland,OH,44111,5213,Level 3 Electrophysiologic Procedures,15,14620.7313333333,17460
21258,Fairview Hospital,Cleveland,OH,44111,5222,Level 2 Pacemaker and Similar Procedures,15,5980.50266666666,17460
21259,Fairview Hospital,Cleveland,OH,44111,5223,Level 3 Pacemaker and Similar Procedures,78,8627.94794871796,17460
21260,Fairview Hospital,Cleveland,OH,44111,5224,Level 4 Pacemaker and Similar Procedures,11,15889.76,17460
21261,Fairview Hospital,Cleveland,OH,44111,5231,Level 1 ICD and Similar Procedures,23,20593.9947826087,17460
21262,Fairview Hospital,Cleveland,OH,44111,5232,Level 2 ICD and Similar Procedures,22,28622.2509090909,17460
21263,Fairview Hospital,Cleveland,OH,44111,5331,Complex GI Procedures,15,3176.13333333333,17460
21264,Fairview Hospital,Cleveland,OH,44111,5361,Level 1 Laparoscopy,129,3726.30961240309,17460
21265,Fairview Hospital,Cleveland,OH,44111,5362,Level 2 Laparoscopy,41,6460.61,17460
21266,Fairview Hospital,Cleveland,OH,44111,5375,Level 5 Urology and Related Services,132,3164.60045454544,17460
21267,Fairview Hospital,Cleveland,OH,44111,5416,Level 6 Gynecologic Procedures,19,5370.8,17460
21268,Fairview Hospital,Cleveland,OH,44111,8011,Comprehensive Observation Services,1582,2029.21382427311,17460
21311,Euclid Hospital,Euclid,OH,44119,5123,Level 3 Musculoskeletal Procedures,30,4679.69,17460
21312,Euclid Hospital,Euclid,OH,44119,5191,Level 1 Endovascular Procedures,45,4324.66822222222,17460
21313,Euclid Hospital,Euclid,OH,44119,5375,Level 5 Urology and Related Services,21,3195.97,17460
21314,Euclid Hospital,Euclid,OH,44119,8011,Comprehensive Observation Services,642,2034.11875389405,17460
21378,Lutheran Hospital,Cleveland,OH,44113,5123,Level 3 Musculoskeletal Procedures,40,4679.69,17460
21379,Lutheran Hospital,Cleveland,OH,44113,5125,Level 5 Musculoskeletal Procedures,24,9909.25,17460
21380,Lutheran Hospital,Cleveland,OH,44113,5375,Level 5 Urology and Related Services,17,3195.97,17460
21381,Lutheran Hospital,Cleveland,OH,44113,8011,Comprehensive Observation Services,152,2023.28769736842,17460
21403,Medina Hospital,Medina,OH,44256,5123,Level 3 Musculoskeletal Procedures,30,4679.86666666666,10420
21404,Medina Hospital,Medina,OH,44256,5123,Level 3 Musculoskeletal Procedures,30,4679.86666666666,17460
21405,Medina Hospital,Medina,OH,44256,5191,Level 1 Endovascular Procedures,24,4180.98416666666,10420
21406,Medina Hospital,Medina,OH,44256,5191,Level 1 Endovascular Procedures,24,4180.98416666666,17460
21407,Medina Hospital,Medina,OH,44256,5361,Level 1 Laparoscopy,71,3725.70633802817,10420
21408,Medina Hospital,Medina,OH,44256,5361,Level 1 Laparoscopy,71,3725.70633802817,17460
21409,Medina Hospital,Medina,OH,44256,5375,Level 5 Urology and Related Services,25,3195.97,10420
21410,Medina Hospital,Medina,OH,44256,5375,Level 5 Urology and Related Services,25,3195.97,17460
21411,Medina Hospital,Medina,OH,44256,8011,Comprehensive Observation Services,617,2037.09366288491,10420
21412,Medina Hospital,Medina,OH,44256,8011,Comprehensive Observation Services,617,2037.09366288491,17460
21427,Lake Health,Concord,OH,44077,5123,Level 3 Musculoskeletal Procedures,68,4643.34352941176,17460
21428,Lake Health,Concord,OH,44077,5124,Level 4 Musculoskeletal Procedures,13,6238.6,17460
21429,Lake Health,Concord,OH,44077,5165,Level 5 ENT Procedures,21,3587.69666666666,17460
21430,Lake Health,Concord,OH,44077,5191,Level 1 Endovascular Procedures,79,4105.58544303797,17460
21431,Lake Health,Concord,OH,44077,5192,Level 2 Endovascular Procedures,82,8537.68975609757,17460
21432,Lake Health,Concord,OH,44077,5193,Level 3 Endovascular Procedures,56,13512.8469642857,17460
21433,Lake Health,Concord,OH,44077,5213,Level 3 Electrophysiologic Procedures,17,13851.7094117647,17460
